,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
标准-规范-准则,ASME规范案例26051,规范案例2843,规范案例N284,标准简介,标准,TEMA标准,EJMA标准,ASME标准,API标准,ISO标准,RCCMRx标准,法规及标准,英国标准,评定标准,专用型焊接评定标准,通用型焊接评定标准,国家标准,焊接标准,欧洲焊接标准,验收标准,材料标准,有色金属材料标准,新标准,欧盟标准,工程标准,规范标准,法规标准,国际标准,试验标准,修正的NSC准则,COD准则,损伤准则,风险可接受准则,应变准则,5最大主应变准则,裂纹合并准则,应变失效准则,屈服准则,标准化,标准漏孔,标准对比,标准化残差法,准则方程,标准体系,法规与标准体系,焊接标准体系,规范体系,规范,R6规范,ASME规范,RCCM规范,标准规范,焊接规范,材料规范,标准修订,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法,超声波衍射时差法TOFD,聚焦法则,G28A法,无单元Galerkin法,Pearson法,TaylorWaters法,修正θ法,修正弹性补偿法,生死单元法,有限单元法,锤击法,内径控制法,扭矩控制法,轧制法,屈服应力法,冷压法,压痕应变法,温差协调形变法,三维虚拟裂纹闭合法,盲孔法,钻孔法,磁性测定法,垂直入射法,端点衍射法,超声衍射时差法,子程序法,动力松弛法,半面积补强法,金属磁记忆法,一致缺陷模态法,直接法,EN 13445直接法,外推法,激光扫描法,释放法,θ函数法,最大最小计数法,最大最小循环计数法,BTC方法,TOFD方法,Omega方法,Master Curve方法,MonteCarlo方法,BellGhaly方法,迭代方法,田口方法,修复方法,测定方法,评定方法,施工方法,直接方法,有效方法,循环计数方法,解析方法,建模方法,堆焊方法,工程估算方法,计算方法,布置方法,组装方法,测试方法,反应谱方法,加载方法,线性匹配方法,试验方法,SchwartzNeuman交替法,一次结构法,平均应力修正法,蒙特卡洛法,外测法,电测法,内燃法,切环法,球压痕法,一次二阶矩法,压力面积法,VMD算法,遗传算法,几何算法,图算法,修正算法,应力分类法,主曲线法,本构曲线法,极限载荷法,倒装法,正装法,垂直接触法,二次加载法,过载法,局部法,线性匹配法,伽辽金法,响应面法,正交试验法,依法治特,图解法原理,法规体系,石灰石石膏法脱硫装置,法规,政策法规,方法改进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
场-方程-公式-模型,现场返修,公式拟合,场协同,应力场,漏磁场,模型,BTC模型,RBTC模型,VOF模型,NK模型,HLP模型,RambergOsgood模型,GursonTvergaard模型,Chaboche模型,Beremin模型,MonteCarlo模型,kε模型,破裂压力模型,内聚力模型,演化模型,应变硬化模型,简化模型,自回归整合移动平均模型,马尔可夫模型,子模型,力学模型,三维断裂力学模型,电化学模型,数学模型,推定模型,自增强模型,粘弹性模型,失效模型,本构模型,高温本构模型,轴对称模型,韧性换算模型,计算模型,线弹簧模型,解耦模型,试验模型,现场修复,现场组对,公式,Mises公式,Paris公式,应力公式,拟合公式,中径公式,修正公式,工程估算公式,计算公式,关联公式,经验公式,现场组焊,现场挂片,现场焊接修理,Manson―Coffin方程,力学方程,回归方程,极限状态方程,约束方程,钝化线方程,现场组装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焊接,焊接构件,圆形焊接附件,焊接返修,焊接残余应力,消除焊接残余应力,焊接应力,焊接坡口,焊接修复,焊接缺陷评定,带压焊接密封,焊接顺序,焊接数据库,焊接变形,焊接性,粗晶区焊接韧性,焊接,应用与焊接,翻边锥体焊接,全焊接,振动焊接,自动化焊接,深孔焊接,同种金属焊接,异种金属焊接,等离子弧焊接,在役焊接,水平支承焊接,电子束焊接,爆炸焊接,堆焊焊接,电熔焊接,在线焊接,回火焊道焊接,衬里焊接,异种合金焊接,双相钢焊接,异种钢焊接,窄间隙焊接,焊接填充材料,焊接材料,焊接措施,焊接电极,焊接垫片,焊接规程,焊接试验研究,焊接冷裂纹,焊接裂纹,焊接三通,焊接斜三通,焊接缺陷,焊接与检验,焊接性试验,斜Y形坡口焊接裂纹试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焊缝,焊缝金属,309L焊缝金属,多道焊缝金属,焊缝成形,焊缝,225Cr1Mo025V焊缝,小Ω焊缝,深厚焊缝,异种金属焊缝,对接焊缝,单面对接焊缝,环焊缝,曲线焊缝,密缝焊缝,异种钢焊缝,铝焊缝,纯铝焊缝,焊缝开裂,焊缝缺陷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焊,CHW62QR实芯焊丝,药芯焊丝,焊道集中,连体锻焊件,焊后水冷,胀焊结合,堆焊修复,焊材储存,焊工,焊道排布,骑座式马鞍型埋弧焊机,焊材,镍基焊材,焊条,锻焊结构,特殊焊炬,自动TIG焊,冷焊,振动焊,自动焊,CRC全自动焊,半自动焊,全位置自动焊,MAG全位置自动焊,激光复合焊,堆焊,Inconel 625堆焊,316L堆焊,钴基堆焊,带极堆焊,90 mm带极堆焊,宽带极堆焊,电渣带极堆焊,带极电渣堆焊,横焊堆焊,平盖堆焊,镍基合金堆焊,等离子焊,内孔焊,埋弧焊,双丝埋弧焊,窄间隙埋弧焊,等离子弧焊,钨极氩弧焊,手工钨极氩弧焊,药芯焊丝电弧焊,自保护药芯焊丝电弧焊,手工电弧焊,焊条电弧焊,内孔对接焊,扩散焊,间断焊,电子束焊,横焊,埋弧横焊,爆炸焊,补焊,装焊,多道焊,钎焊,无钎剂钎焊,氩弧钎焊,真空钎焊,银钎焊,焊环,焊带位置,焊补,不锈钢堆焊金属开裂,未焊透,焊制三通,起裂焊道,冷焊缺陷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳,蠕变疲劳交互,疲劳损伤,疲劳寿命评估,疲劳,蠕变—疲劳,应力疲劳,应变疲劳,蠕变疲劳,高温低周疲劳,高周疲劳,变幅疲劳,高温疲劳,腐蚀疲劳,双轴疲劳,多轴疲劳,疲劳蠕变,疲劳断口,疲劳寿命,疲劳破坏,疲劳评定,疲劳裂纹扩展,疲劳失效,疲劳校核,疲劳比,疲劳寿命预测,疲劳循环,蠕变疲劳交互作用,疲劳裂纹,疲劳短裂纹,疲劳监测系统,疲劳断裂,疲劳极限,疲劳排除,疲劳试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腐蚀,应力腐蚀开裂SCC,腐蚀损伤,腐蚀凹坑,腐蚀坑,腐蚀类型,晶间腐蚀敏感性,应力腐蚀开裂敏感性,耐腐蚀性,腐蚀与防护,腐蚀防护,腐蚀失效,耐腐蚀材料,腐蚀检查,腐蚀调查,腐蚀泄漏,腐蚀控制规程,防腐蚀对策,腐蚀及裂纹,腐蚀裂纹,应力腐蚀裂纹,Cl应力腐蚀裂纹,腐蚀,H2S腐蚀,垢下腐蚀,冲刷腐蚀,应力腐蚀,沿晶型应力腐蚀,氧化腐蚀,氧化氯化腐蚀,刀口腐蚀,电化学腐蚀,空泡腐蚀,低温腐蚀,高温腐蚀,点腐蚀,高温硫腐蚀,局部腐蚀,晶间腐蚀,缝隙腐蚀,应力腐蚀开裂,一次侧应力腐蚀开裂,碱应力腐蚀开裂,晶间应力腐蚀开裂,晶间腐蚀开裂,应力腐蚀破裂,腐蚀图谱,含硫腐蚀性杂质,腐蚀缺陷,腐蚀试验,应力腐蚀试验,晶间腐蚀试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
断裂,断裂控制,等效断裂应变,断裂力学,断裂评定,断裂模式,断裂韧性,韧脆转变断裂韧性,应力断裂,蠕变断裂,弹塑性断裂,延性断裂,脆性断裂,韧性断裂,沿晶断裂,延性韧窝断裂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爆炸-火灾,火灾工况,爆炸轧制,爆炸窗口,爆炸复合,爆炸危害,爆炸成形,爆炸胀接,火灾事故,爆炸地震波,火灾,敞开式火灾,泄放阀火灾,爆炸,化学爆炸,火灾爆炸,低速爆炸载荷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
损伤-缺陷-失效,损伤张开位移δd′,损伤,冲击损伤,蠕变损伤,椭圆形凹坑损伤,塑性损伤,材料损伤,早期损伤,低温硫化物损伤,微观损伤,表面损伤,缺陷定位,缺陷返修,损伤Jd积分,缺陷数据识别,主导失效机制,失效压力,失效寿命,失效原因,缺陷的产生原因,失效评定图,损伤力学,失效评定,缺陷评定,失效形式,失效模式,失效,密封失效,塑性失效,结构失效,高温失效,垫片失效,失稳失效,渐进失效,失效后果,缺陷检测,损伤机理,失效机理,损伤积累,缺陷等级,失效评估曲线,失效评定曲线,失效预防,损伤容限,缺陷,疑似缺陷,初始几何缺陷,背侧缺陷,鼓包缺陷,界面熔化缺陷,体积型缺陷,面积型缺陷,平面型缺陷,初始缺陷,疏松缺陷,超标缺陷,裂纹等缺陷,裂纹缺陷,减薄缺陷,局部减薄缺陷,开裂缺陷,咬边缺陷,表面缺陷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
检测-检验,基于风险的检测RBI,基于风险的检验RBI,内旋转检测系统IRIS,检验案例,检测方向,检验及修复,检验程序,检验周期,检测方案,检测,TOFD检测,激光检测,内检测,综合检测,周向检测,超声检测,自动超声检测,TOFD自动超声检测,周向超声检测,相控阵超声检测,声发射检测,在线声发射检测,磁记忆检测,动态检测,非开挖检测,无损检测,高效检测,Lamb波检测,超声波检测,常规超声波检测,导波检测,超声长距离导波检测,泄漏检测,射线透照检测,基于风险的检测,漏磁检测,荧光磁粉检测,黑色磁粉检测,射线检测,数字射线检测,离线检测,快速检测,相控阵检测,风险检测,检验策略,检测装置,新型检测装置,检测时间,检验,理化检验,断口检验,试验和检验,破坏性检验,敏感性检验,无损检验,材料检验,定期检验,延期检验,超声波检验,在用检验,基于风险的检验,监督检验,常规检验,风险检验,全面检验,不停机全面检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预测-试验-实验-测试,落锤撕裂试验DWTT,试验工况,试验压力,试验压差,预测,寿命预测,剩余寿命预测,随机寿命预测,危害预测,实验研究,试验研究,试验验证,测试,应力测试,残余应力测试,超声波测试,试验测试,试验谱,实验,验证性实验,试验,WOL试验,Gleeble试验,检查与试验,持久试验,正交试验,重新评估试验,拉伸试验,步冷试验,冲击试验,压力试验,拉脱力试验,优化试验,差压试验,水压试验,耐压试验,蠕变试验,加速寿命试验,型式试验,韧性试验,胀接试验,冷模试验,对比试验,风洞试验,氦泄漏试验,火烧试验,爆破试验,水压爆破试验,楔形张开加载试验,插销试验,落锤试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
压力,压力控制,压力,动作压力,开启压力,初始压力,整定压力,自增强压力,胀接压力,泄放压力,最大泄放压力,事故压力,动水压力,临界压力,屈曲失稳临界压力,爆破压力,标定爆破压力,公称压力,失稳压力,临界失稳压力,自紧压力,最大允许积聚压力,接触压力,残余接触压力,密封接触压力,极限压力,压力推力,压力范围,允许压力损失,压力确定,压力边界,压力平衡装置,压力降,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应力-载荷,应力集中,应力评估,载荷工况,应力控制,应力限制,应力,最大Mises应力,主应力,残余应力,高残余应力,动应力,强化应力,综合应力,周向应力,最大周向应力,环向应力,轴向应力,威布尔应力,温差应力,弹性应力,弯曲应力,一次弯曲应力,屈服应力,一次应力,二次应力,消应力,垫片应力,作用应力,许用应力,真应力,许用压缩应力,子午向膜应力,环向膜应力,薄膜应力,总体一次薄膜应力,膜致应力,接触应力,局部应力,载荷波动,应力—应变,应力应变,残余应力应变,循环应力应变,局部应力应变,应力及应变,载荷组合,主应力方向,多轴载荷影响,名义应力范围,应力评定,应力应变评定,载荷应力再分布,应力分布,垫片应力分布,应力水平,应力松弛,平均应力松弛,载荷路径,应力状态,多维应力状态,应力指数,应力比,应力监测,去应力退火,应力补偿机理,应力仿真,应力计算,局部应力计算,应力分类,应力应变关系,应力—应变曲线,真实应力—应变曲线,真应力—应变曲线,应力应变曲线,载荷,集中载荷,水力载荷,重力载荷,径向载荷,外载荷,变幅载荷,面内开闭弯载荷,离心载荷,动态载荷,静态载荷,塑性载荷,屈曲载荷,复杂载荷,循环载荷,临界载荷,垂直载荷,预紧载荷,残余预紧载荷,均匀预紧载荷,拉脱载荷,双轴载荷,极限载荷,塑性极限载荷,地震载荷,非均匀性静载荷,风载荷,脉动风载荷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力-功,冲击功KV2,系统动力学SD,成功实例,F2分力,浮升力,支座反力,受力,内压和轴向力,水平力,缠绕张力,回弹力,惯性力,介质惯性力,抗拔力,静摩擦力,作用力,预紧力,拉脱力,地震力,冲击功,低温冲击功,内积功,力磁耦合,弹性动力学,塑性力学,弹性塑性力学,动力响应,力学响应,动力学响应,阻力特性,力学特性,侧向力作用,复合力矩,JR阻力曲线,裂纹扩展阻力曲线,偏心力臂,受力平衡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钢,应变强化不锈钢S30403,应变强化不锈钢S31608,不锈钢316LN,不锈钢网丝,钢锻件,不锈钢锻件,钢丝网套,钢材,钢结构,钢棒,柔性石墨不锈钢波齿复合垫片,奥氏体不锈钢三通,ADB610钢,10CrMo910钢,ASTM 4130钢,X70钢,SA516Gr70钢,980钢,P91钢,SA335 P91钢,P92钢,T92P92钢,T92钢,022Cr17Ni12Mo2钢,T23钢,SA543钢,SA5083钢,SA336F22CL3钢,15钢,BHW35钢,X7Ni9钢,921A钢,25Cr2MoVA钢,35CrMoA钢,12Cr2MoVWTiB钢,20G钢,2020G钢,TP347H钢,15CrMoRH钢,JFEHITEN610U2L钢,NKHITEN610U2L钢,316L钢,12Cr2Mo1R钢,Q345R钢,XG630DR钢,07MnNiCrMoVDR钢,07MnCrMoVDR钢,15MnNiNbDR钢,12MnNiVR钢,WH59017MnNiVNbR钢,16MnR钢,15CrMoR钢,25Cr2NiMo1V钢,2 25Cr1Mo0 25V钢,225Cr1Mo025V钢,CrNiMoV钢,Cr25Ni35Nb钢,35Ni钢,9Ni钢,15MnNi钢,225Cr1Mo钢,125Cr05Mo钢,Cr5Mo钢,1Cr5Mo钢,08Cr2AlMo钢,CrMo钢,15CrMo钢,新CrMo钢,国产A508Ⅲ钢,铁素体钢,T92铁素体钢,双钢,20号钢,225Cr1Mo不锈复合钢,高强钢,WEL—TEN610CF高强钢,低温高强钢,低温钢,低温用钢,双相钢,碳钢,低碳钢,异种钢,钒改进钢,低合金钢,锰镍钼低合金钢,铬钼钢,含铝钢,渗铝钢,不锈钢,304不锈钢,TP347不锈钢,S32168不锈钢,304H不锈钢,含Mo不锈钢,奥氏体不锈钢,304奥氏体不锈钢,304H奥氏体不锈钢,FeCrNi奥氏体不锈钢,应变强化奥氏体不锈钢,铬镍奥氏体不锈钢,347型不锈钢,含氮不锈钢,双相不锈钢,SA240S31803双相不锈钢,SAF2507双相不锈钢,超级双相不锈钢,尿素级不锈钢,超级不锈钢,高级不锈钢,铸造不锈钢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁,铁素体FN,铁素体,δ铁素体,网状铁素体,针状铁素体,铁素体带,铁基材料,非铁基材料,防铁污染,铸铁烘缸,铁镍基合金,磁铁,铸铁,球墨铸铁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钛,钛材牌号,钛材,钛合金,钛,碳化钛,TA2纯钛,工业纯钛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金-金属-材料,哈氏合金B3,哈氏合金C4,材料替代,材料劣化,金属尘化,微合金化,VN微合金化,钒微合金化,空心金属O形圈,金属波齿垫,易熔合金塞,复合材料修复,金相观察,熔敷金属,泡沫金属,难熔金属,异种金属,复合材料增强,金属磁记忆,材料选择,镍基合金内环更换,材料常数,材料,SA387Gr11Cl2UNS N08825材料,相变材料,复合材料,FRP复合材料,碳纤维复合材料,金属材料,耐火材料,承压用材料,异种材料,特种材料,尿素级材料,A350锻造材料,材料拘束,冷金属过渡,双金属自密封波齿复合垫片,金属垫片,双金属自密封波齿垫片,金相,宏观金相,微观金相,铝合金贮箱,金相组织,爆破片与易熔合金塞串联组合装置,金属内衬,金属与金属接触,氧化物冶金,哈氏C2000合金,Incoloy 800合金,HP40合金,C276合金,25Cr35NiNb合金,NiCr合金,NiFe基合金,镍基合金,蒙乃尔合金,25Cr35NiNb微合金,35Cr45NiNb微合金,哈氏合金,C276哈氏合金,硬质合金,Haynes 230镍基超合金,铜合金,铜及铜合金,铝合金,2A14铝合金,5A06铝合金,2219铝合金,镍合金,镍及镍合金,稀有金属钽,材料复验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
结构,结构优化,主结构应变,结构完整性,高温结构完整性,结构特性,结构可靠性,结构约束,结构,紧凑结构,进出口结构,组合结构,子结构,开孔结构,大开孔结构,密封结构,填料函密封结构,高温高压密封结构,支座结构,快开结构,补强结构,显微结构,新型支承结构,高温保护结构,拉撑结构,支撑结构,限位支撑结构,自支撑结构,复杂结构,支柱结构,特殊结构,组织结构,二维结构,微观结构,翻边结构,裙座锻造结构,局部结构,端部结构,细长结构,快开门结构,界面结构,结构改进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
性,变极性TIG,塑性修正因子ρ,完整性评估,韧性补偿,非线性规划,多线性随动强化,应变线性化,活性氧化,严密性试压,操作完整性平台,裂纹性质与成因,脆性破坏,韧性破坏,防止塑性垮塌,非线性超声,柔性探头,挠性夹套,变极性等离子,符合性评定,塑性自增强,塑性变形,总体塑性变形,弹性变形,相关性,紧凑性,均匀性,不均匀性,非均匀性,横观各向同性,方向性,弹塑性,循环塑性,安定性,塑性安定性,弹性安定性,稳定性,外压稳定性,轴向稳定性,水密性,紧密性,各向异性,磁各向异性,线性弹性,非线性弹性,线弹性,超弹性,敏感性,裂纹敏感性,冷裂纹敏感性,挠性,表面改性,高效性,数据分散性,完整性,高温完整性,周期性,经济性,动特性,声特性,变形特性,动态特性,共振特性,接触特性,使用性,适用性,非对称性,可转移性,双线性,非线性,垫片非线性,脆性,回火脆性,耐蚀性,局限性,自限性,可靠性,寿命可靠性,服役可靠性,冲击韧性,低温冲击韧性,低温韧性,有效弹性常数,弹塑性屈曲,非线性屈曲,塑性屈服,挠性密封条,弹塑性本构,弹性核,稳定性校核,弹性地基梁,非线性密封垫片,非线性垫片,弹性交互作用,塑性弯矩,弹性基础,塑性失稳,弹性失稳,稳定性研究,贯穿性裂纹,碱性破裂,O形密封环弹塑性接触,弹塑性界面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变形-成形,变形控制,变形,控制变形,蠕变变形,挠曲变形,循环变形,失稳变形,偏转变形,预变形,成形,冷成形,冲压成形,冷冲压成形,温压成形,温成形,变形协调,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
形,形变马氏体,形变诱导马氏体,形势,波形变化,拉伸形变,控制形变,J形坡口,方形人孔,矩形大开孔,形状允差,正方形排布,U形,地震波波形,胀形,马鞍形,波形特征,形状重构,伞形支架,V形密封槽,圈形波,齿形垫片,反拱形爆破片,正拱形爆破片,界面形状,C形密封环,O形密封环,C形环,O形环,碟形弹簧,椭圆形丁胞,U形膨胀节,波形膨胀节,断口形貌,微观形貌,矩形微通道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水,欧洲先进压水堆EPR,水冷,快速水冷却,超水压,静水压,水试压,压水反应堆,压水堆,欧洲先进压水堆,水浸超声,水室,氨水槽,冷却水,回注水,连续注水,人造海水,深水,给水,801胶水,冷凝水滴,汽水循环,水泥环,压水堆核电站,水锤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
